"","LCL","mean","HCL","x"
"Pct_don_ex_1.1",3.1420775,3.20839,3.35674,1
"Pct_don_ex_1.2",8.1901385,8.359685,8.690523,2
"Pct_don_ex_1.3",12.4731,12.73555,13.1684,3
"Pct_don_ex_1.4",15.5499,15.8997,16.385815,4
"Pct_don_ex_1.5",17.607195,18.0327,18.55736,5
"Pct_don_ex_1.6",18.933095,19.42335,19.98151,6
"Pct_don_ex_1.7",19.768595,20.30985,20.889305,7
"Pct_don_ex_1.8",20.2896,20.874,21.474205,8
"Pct_don_ex_1.9",20.61364,21.22945,21.84191,9
"Pct_don_ex_1.10",20.81342,21.4495,22.0741,10
"Pct_don_ex_1.11",20.933295,21.5883,22.22253,11
"Pct_don_ex_1.12",21.009375,21.67525,22.31847,12
"Pct_don_ex_1.13",21.0555,21.72815,22.3807,13
"Pct_don_ex_1.14",21.086895,21.7627,22.4134,14
"Pct_don_ex_1.15",21.10378,21.7841,22.4348,15
"Pct_don_ex_1.16",21.11414,21.7974,22.448565,16
"Pct_don_ex_1.17",21.12051,21.8056,22.45714,17
"Pct_don_ex_1.18",21.12439,21.811,22.462425,18
"Pct_don_ex_1.19",21.12679,21.8143,22.4669,19
"Pct_don_ex_1.20",21.128305,21.8165,22.46914,20
"Pct_don_ex_1.21",21.12922,21.81795,22.470355,21
"Pct_don_ex_1.22",21.129825,21.8187,22.47115,22
"Pct_don_ex_1.23",21.130135,21.8191,22.47155,23
"Pct_don_ex_1.24",21.130335,21.8194,22.47185,24
