Time,D15G,SED15G,D3GD,SED3G,FreeDON,SED
0,0,0,0,0,0.4201,0.1158
1,0.9448,0.1389,0.0651,1.4353,3.0051,3.8197
2,8.0286,1.1112,1.6393,8.2413,3.6996,4.5142
3,6.9637,1.0649,2.0097,4.7688,3.0051,10.8418
4,5.5285,1.7593,2.4727,3.4725,3.4681,13.6583
5,8.4916,1.389,2.7505,3.3335,1.4618,18.9056
6,3.7691,1.1575,1.7319,4.7225,1.9634,4.0512
7,4.2321,1.4353,1.2226,3.704,1.6933,5.4788
8,3.6765,0.8797,0.9911,1.9909,1.3075,3.7811
9,1.2689,0.3241,0.5281,1.0186,0.5359,1.5433
10,0.9911,0.5556,0.4587,0.8565,0.1886,1.852
11,1.0837,0.2778,0.3429,1.389,0.4973,0.3472
12,0.6207,0.3241,0.6516,0.6636,0.2272,0.1543
13,0.4355,0.2778,0.0043,0.3386,0.0729,0.3472
14,0.8985,0.2315,0.1886,0.2469,0.15,0.0772
15,1.6393,0.2778,0.7288,0.679,0.15,0.4244
16,1.6393,0.1852,0.2272,0.162,0.3815,0.0457
17,3.2135,1.1112,1.6548,0.1697,0.0001,0.00004
18,0.7596,0.2778,0.5744,0.2778,0.1114,2.1607
19,1.6856,1.6205,1.2303,2.1684,0.0729,0.463
20,0.7133,0.1389,0.0001,0.00004,0.4201,0.6945
21,0.7133,0.1852,0.0001,0.00001,0.2272,0.6173
22,0.2503,0.4167,0.2272,0.162,0.3892,0.3704
23,0.4587,1.3195,0.6902,0.4861,0.3044,0.1311
24,0.2503,0.3241,0.2658,0.4012,0.0001,0.00004
